doc_id,category,strategy,articles,paragraphs,tables,chapters,chunks,thin_chunks,absorbed_lineages,chunk_chars_min,chunk_chars_mean,chunk_chars_max
dlt_pilot_2022_858,regulations,article_based,19,267,0,0,15,0,0,270,6015,58848
dora_2022_2554,regulations,article_based,64,635,0,0,62,0,0,388,4506,107456
eidas_2_2024_1183,regulations,article_based,27,394,0,0,23,0,0,477,5405,73975
elec_dir_2019_944,directives,article_based,74,702,4,0,71,0,0,287,3391,69693
emd_reform_dir_2024_1711,directives,article_based,5,101,0,0,4,0,1,269,10295,39227
emd_reform_reg_2024_1747,regulations,article_based,12,157,0,0,9,0,0,472,9524,67901
eprivacy_dir_2002_58,directives,article_based,21,62,0,0,19,0,3,216,3027,33133
gdpr_2016_679,regulations,article_based,99,786,0,0,99,0,0,285,3563,161504
metering_data_2023_1162,regulations,article_based,14,67,18,0,14,0,0,260,2395,14894
remit_1227_2011,regulations,article_based,21,135,0,0,19,0,2,280,3378,23459
remit_ii_2024_1106,regulations,article_based,18,277,0,0,15,0,0,242,3729,35413
data_act_2023_2854,regulations,hierarchical,50,426,0,14,49,0,0,296,5693,156606
eidas_2014_910,regulations,hierarchical,52,340,0,6,51,0,0,201,2205,44065
elec_reg_2019_943,regulations,hierarchical,71,664,4,8,67,0,0,242,3103,49869
entso_cacm_2015_1222,network_codes,hierarchical,84,666,0,5,82,0,1,375,1807,16277
entso_ebgl_2017_2195,network_codes,hierarchical,65,781,2,10,63,0,0,390,2416,12771
entso_ncrfg_2016_631,network_codes,hierarchical,72,652,16,7,66,0,0,263,2015,16019
entso_sogl_2017_1485,network_codes,hierarchical,192,1693,9,27,190,0,0,254,1750,8755
eu_ai_act_2024_1689,regulations,hierarchical,51,413,0,5,50,0,0,479,7426,246616
mica_2023_1114,regulations,hierarchical,81,1031,0,6,74,0,0,319,4439,112500
nis2_dir_2022_2555,directives,hierarchical,46,442,9,9,40,0,3,275,5791,137198
acer_remit_guidance,guidance,table_then_sentence,0,0,0,0,1881,1024,1,2,258,9566
entso-e_compliance_monitoring,guidance,table_then_sentence,0,0,0,3,116,66,2,2,264,1359
entso-e_simulation_models,guidance,table_then_sentence,0,0,0,16,241,138,3,2,321,3887
know_your_contract_guidance,guidance,table_then_sentence,0,0,0,0,320,245,2,2,123,1179
