system,metric,value,n
hybrid,cites_target,1.0,60
hybrid,exact_match,0.0,60
hybrid,judge__complete,0.35,60
hybrid,judge__completeness,2.75,60
hybrid,judge__confidence,0.9485000000000005,60
hybrid,judge__correct,0.5833333333333334,60
hybrid,judge__escalation_rate,0.38333333333333336,60
hybrid,judge__evidence_supported,0.6666666666666666,60
hybrid,judge__faithful,0.6166666666666667,60
hybrid,judge__faithfulness,3.6333333333333333,60
hybrid,judge__graph_reasoning_correct,0.6428571428571429,14
hybrid,judge__graph_reasoning_correct,0.6428571428571429,60
hybrid,judge__groundedness,3.55,60
hybrid,judge__overall_score,3.05,60
hybrid,judge__relevance,3.85,60
hybrid,judge__unsupported_claim_rate,0.2677777777777777,60
hybrid,judge__unsupported_claim_rate,0.2677777777777777,60
hybrid,judge__unsupported_claims,0.36666666666666664,60
hybrid,semantic_similarity,0.6165748501817385,60
hybrid,token_f1,0.26153172952381787,60
hybrid_rerank,cites_target,1.0,60
hybrid_rerank,exact_match,0.0,60
hybrid_rerank,judge__complete,0.2833333333333333,60
hybrid_rerank,judge__completeness,2.3666666666666667,60
hybrid_rerank,judge__confidence,0.9291666666666674,60
hybrid_rerank,judge__correct,0.55,60
hybrid_rerank,judge__escalation_rate,0.4,60
hybrid_rerank,judge__evidence_supported,0.65,60
hybrid_rerank,judge__faithful,0.6166666666666667,60
hybrid_rerank,judge__faithfulness,3.45,60
hybrid_rerank,judge__graph_reasoning_correct,0.35714285714285715,14
hybrid_rerank,judge__graph_reasoning_correct,0.35714285714285715,60
hybrid_rerank,judge__groundedness,3.466666666666667,60
hybrid_rerank,judge__overall_score,2.7333333333333334,60
hybrid_rerank,judge__relevance,3.283333333333333,60
hybrid_rerank,judge__unsupported_claim_rate,0.2833333333333333,60
hybrid_rerank,judge__unsupported_claim_rate,0.2833333333333333,60
hybrid_rerank,judge__unsupported_claims,0.38333333333333336,60
hybrid_rerank,semantic_similarity,0.6150951301058133,60
hybrid_rerank,token_f1,0.26267261988222274,60
hybrid_graph_rerank,cites_target,1.0,60
hybrid_graph_rerank,exact_match,0.0,60
hybrid_graph_rerank,judge__complete,0.35,60
hybrid_graph_rerank,judge__completeness,2.683333333333333,60
hybrid_graph_rerank,judge__confidence,0.9415000000000008,60
hybrid_graph_rerank,judge__correct,0.48333333333333334,60
hybrid_graph_rerank,judge__escalation_rate,0.4666666666666667,60
hybrid_graph_rerank,judge__evidence_supported,0.55,60
hybrid_graph_rerank,judge__faithful,0.5333333333333333,60
hybrid_graph_rerank,judge__faithfulness,3.3333333333333335,60
hybrid_graph_rerank,judge__graph_reasoning_correct,0.2857142857142857,21
hybrid_graph_rerank,judge__graph_reasoning_correct,0.2857142857142857,60
hybrid_graph_rerank,judge__groundedness,3.5833333333333335,60
hybrid_graph_rerank,judge__overall_score,2.816666666666667,60
hybrid_graph_rerank,judge__relevance,3.683333333333333,60
hybrid_graph_rerank,judge__unsupported_claim_rate,0.2765740740740741,60
hybrid_graph_rerank,judge__unsupported_claim_rate,0.2765740740740741,60
hybrid_graph_rerank,judge__unsupported_claims,0.4666666666666667,60
hybrid_graph_rerank,semantic_similarity,0.6375565325220426,60
hybrid_graph_rerank,token_f1,0.2884450446527068,60
hybrid_gr_1hop,cites_target,1.0,60
hybrid_gr_1hop,exact_match,0.0,60
hybrid_gr_1hop,judge__complete,0.4,60
hybrid_gr_1hop,judge__completeness,2.783333333333333,60
