system,metric,k,value,n
dense,hit,1,0.08333333333333333,60
dense,hit,3,0.11666666666666667,60
dense,hit,5,0.16666666666666666,60
dense,hit,10,0.2,60
dense,hit,20,0.23333333333333334,60
dense,mrr,1,0.08333333333333333,60
dense,mrr,3,0.09722222222222222,60
dense,mrr,5,0.10805555555555556,60
dense,mrr,10,0.11291666666666668,60
dense,mrr,20,0.11483552631578947,60
dense,ndcg,1,0.08333333333333333,60
dense,ndcg,3,0.1021821625595243,60
dense,ndcg,5,0.12225519876856557,60
dense,ndcg,10,0.13344973316679473,60
dense,ndcg,20,0.14138354575476117,60
dense,precision,1,0.08333333333333333,60
dense,precision,3,0.03888888888888888,60
dense,precision,5,0.03333333333333333,60
dense,precision,10,0.02,60
dense,precision,20,0.011666666666666667,60
dense,recall,1,0.08333333333333333,60
dense,recall,3,0.11666666666666667,60
dense,recall,5,0.16666666666666666,60
dense,recall,10,0.2,60
dense,recall,20,0.23333333333333334,60
sparse,hit,1,0.11666666666666667,60
sparse,hit,3,0.21666666666666667,60
sparse,hit,5,0.21666666666666667,60
sparse,hit,10,0.2833333333333333,60
sparse,hit,20,0.3333333333333333,60
sparse,mrr,1,0.11666666666666667,60
sparse,mrr,3,0.15833333333333333,60
sparse,mrr,5,0.15833333333333333,60
sparse,mrr,10,0.16944444444444443,60
sparse,mrr,20,0.17311884022410334,60
sparse,ndcg,1,0.11666666666666667,60
sparse,ndcg,3,0.17321315434523957,60
sparse,ndcg,5,0.17321315434523957,60
sparse,ndcg,10,0.19696030015244106,60
sparse,ndcg,20,0.2098431450499091,60
sparse,precision,1,0.11666666666666667,60
sparse,precision,3,0.07222222222222222,60
sparse,precision,5,0.043333333333333335,60
sparse,precision,10,0.02833333333333334,60
sparse,precision,20,0.01666666666666667,60
sparse,recall,1,0.11666666666666667,60
sparse,recall,3,0.21666666666666667,60
sparse,recall,5,0.21666666666666667,60
sparse,recall,10,0.2833333333333333,60
sparse,recall,20,0.3333333333333333,60
hybrid,hit,1,0.11666666666666667,60
hybrid,hit,3,0.15,60
hybrid,hit,5,0.21666666666666667,60
hybrid,hit,10,0.26666666666666666,60
hybrid,hit,20,0.35,60
hybrid,mrr,1,0.11666666666666667,60
hybrid,mrr,3,0.13055555555555556,60
hybrid,mrr,5,0.14638888888888887,60
hybrid,mrr,10,0.1526851851851852,60
hybrid,mrr,20,0.15924419634945952,60
hybrid,ndcg,1,0.11666666666666667,60
hybrid,ndcg,3,0.13551549589285763,60
hybrid,ndcg,5,0.16349687058376966,60
hybrid,ndcg,10,0.17926857073526783,60
hybrid,ndcg,20,0.20128583110348197,60
hybrid,precision,1,0.11666666666666667,60
hybrid,precision,3,0.05,60
hybrid,precision,5,0.043333333333333335,60
hybrid,precision,10,0.026666666666666672,60
hybrid,precision,20,0.017500000000000005,60
hybrid,recall,1,0.11666666666666667,60
hybrid,recall,3,0.15,60
hybrid,recall,5,0.21666666666666667,60
hybrid,recall,10,0.26666666666666666,60
hybrid,recall,20,0.35,60
graph,hit,1,0.11666666666666667,60
graph,hit,3,0.18333333333333332,60
graph,hit,5,0.2,60
graph,hit,10,0.3,60
graph,hit,20,0.3,60
graph,mrr,1,0.11666666666666667,60
graph,mrr,3,0.15,60
graph,mrr,5,0.15333333333333332,60
graph,mrr,10,0.1662962962962963,60
graph,mrr,20,0.1662962962962963,60
graph,ndcg,1,0.11666666666666667,60
graph,ndcg,3,0.15872865023809718,60
graph,ndcg,5,0.16517619702533953,60
graph,ndcg,10,0.19711843630653905,60
graph,ndcg,20,0.19711843630653905,60
graph,precision,1,0.1590909090909091,44
graph,precision,3,0.08333333333333334,44
graph,precision,5,0.05454545454545454,44
graph,precision,10,0.04090909090909092,44
graph,precision,20,0.021066433566433573,44
graph,recall,1,0.11666666666666667,60
graph,recall,3,0.18333333333333332,60
graph,recall,5,0.2,60
graph,recall,10,0.3,60
graph,recall,20,0.3,60
neo4j,hit,1,0.0,60
neo4j,hit,3,0.0,60
neo4j,hit,5,0.0,60
neo4j,hit,10,0.03333333333333333,60
neo4j,hit,20,0.03333333333333333,60
neo4j,mrr,1,0.0,60
neo4j,mrr,3,0.0,60
neo4j,mrr,5,0.0,60
neo4j,mrr,10,0.0035185185185185185,60
neo4j,mrr,20,0.0035185185185185185,60
neo4j,ndcg,1,0.0,60
neo4j,ndcg,3,0.0,60
neo4j,ndcg,5,0.0,60
neo4j,ndcg,10,0.00983491369969782,60
neo4j,ndcg,20,0.00983491369969782,60
neo4j,precision,1,0.0,60
neo4j,precision,3,0.0,60
neo4j,precision,5,0.0,60
neo4j,precision,10,0.0033333333333333335,60
neo4j,precision,20,0.001906318082788671,60
neo4j,recall,1,0.0,60
neo4j,recall,3,0.0,60
neo4j,recall,5,0.0,60
neo4j,recall,10,0.03333333333333333,60
neo4j,recall,20,0.03333333333333333,60
hybrid_graph,hit,1,0.05,60
hybrid_graph,hit,3,0.13333333333333333,60
hybrid_graph,hit,5,0.21666666666666667,60
hybrid_graph,hit,10,0.2833333333333333,60
hybrid_graph,hit,20,0.36666666666666664,60
hybrid_graph,mrr,1,0.05,60
hybrid_graph,mrr,3,0.08055555555555555,60
hybrid_graph,mrr,5,0.10055555555555555,60
hybrid_graph,mrr,10,0.11034391534391536,60
hybrid_graph,mrr,20,0.11581261159434535,60
hybrid_graph,ndcg,1,0.05,60
hybrid_graph,ndcg,3,0.09384882922619096,60
hybrid_graph,ndcg,5,0.1290081465516595,60
hybrid_graph,ndcg,10,0.1514544416052155,60
hybrid_graph,ndcg,20,0.1721100622265403,60
hybrid_graph,precision,1,0.05,60
hybrid_graph,precision,3,0.04444444444444444,60
hybrid_graph,precision,5,0.043333333333333335,60
hybrid_graph,precision,10,0.02833333333333334,60
hybrid_graph,precision,20,0.018333333333333337,60
hybrid_graph,recall,1,0.05,60
hybrid_graph,recall,3,0.13333333333333333,60
hybrid_graph,recall,5,0.21666666666666667,60
hybrid_graph,recall,10,0.2833333333333333,60
hybrid_graph,recall,20,0.36666666666666664,60
hybrid_rerank,hit,1,0.21666666666666667,60
hybrid_rerank,hit,3,0.26666666666666666,60
hybrid_rerank,hit,5,0.26666666666666666,60
hybrid_rerank,hit,10,0.31666666666666665,60
hybrid_rerank,hit,20,0.35,60
hybrid_rerank,mrr,1,0.21666666666666667,60
hybrid_rerank,mrr,3,0.23888888888888887,60
hybrid_rerank,mrr,5,0.23888888888888887,60
hybrid_rerank,mrr,10,0.24520502645502643,60
hybrid_rerank,mrr,20,0.24763558201058197,60
