system,k,recall,precision,hit,mrr,ndcg
dense,1,0.083,0.083,0.083,0.083,0.083
dense,3,0.117,0.039,0.117,0.097,0.102
dense,5,0.167,0.033,0.167,0.108,0.122
dense,10,0.200,0.020,0.200,0.113,0.133
dense,20,0.233,0.012,0.233,0.115,0.141
sparse,1,0.117,0.117,0.117,0.117,0.117
sparse,3,0.217,0.072,0.217,0.158,0.173
sparse,5,0.217,0.043,0.217,0.158,0.173
sparse,10,0.283,0.028,0.283,0.169,0.197
sparse,20,0.333,0.017,0.333,0.173,0.210
hybrid,1,0.117,0.117,0.117,0.117,0.117
hybrid,3,0.150,0.050,0.150,0.131,0.136
hybrid,5,0.217,0.043,0.217,0.146,0.163
hybrid,10,0.267,0.027,0.267,0.153,0.179
hybrid,20,0.350,0.018,0.350,0.159,0.201
graph,1,0.117,0.159,0.117,0.117,0.117
graph,3,0.183,0.083,0.183,0.150,0.159
graph,5,0.200,0.055,0.200,0.153,0.165
graph,10,0.300,0.041,0.300,0.166,0.197
graph,20,0.300,0.021,0.300,0.166,0.197
neo4j,1,0.000,0.000,0.000,0.000,0.000
neo4j,3,0.000,0.000,0.000,0.000,0.000
neo4j,5,0.000,0.000,0.000,0.000,0.000
neo4j,10,0.033,0.003,0.033,0.004,0.010
neo4j,20,0.033,0.002,0.033,0.004,0.010
hybrid_graph,1,0.050,0.050,0.050,0.050,0.050
hybrid_graph,3,0.133,0.044,0.133,0.081,0.094
hybrid_graph,5,0.217,0.043,0.217,0.101,0.129
hybrid_graph,10,0.283,0.028,0.283,0.110,0.151
hybrid_graph,20,0.367,0.018,0.367,0.116,0.172
hybrid_rerank,1,0.217,0.217,0.217,0.217,0.217
hybrid_rerank,3,0.267,0.089,0.267,0.239,0.246
hybrid_rerank,5,0.267,0.053,0.267,0.239,0.246
hybrid_rerank,10,0.317,0.032,0.317,0.245,0.262
hybrid_rerank,20,0.350,0.018,0.350,0.248,0.270
hybrid_graph_rerank,1,0.217,0.217,0.217,0.217,0.217
hybrid_graph_rerank,3,0.233,0.078,0.233,0.225,0.227
hybrid_graph_rerank,5,0.267,0.053,0.267,0.232,0.241
hybrid_graph_rerank,10,0.317,0.032,0.317,0.238,0.256
hybrid_graph_rerank,20,0.350,0.018,0.350,0.240,0.264
hybrid_gr_1hop,1,0.217,0.217,0.217,0.217,0.217
hybrid_gr_1hop,3,0.250,0.083,0.250,0.231,0.236
hybrid_gr_1hop,5,0.283,0.057,0.283,0.238,0.249
hybrid_gr_1hop,10,0.317,0.032,0.317,0.242,0.260
hybrid_gr_1hop,20,0.350,0.018,0.350,0.244,0.268
hybrid_gr_relations,1,0.217,0.217,0.217,0.217,0.217
hybrid_gr_relations,3,0.250,0.083,0.250,0.231,0.236
hybrid_gr_relations,5,0.283,0.057,0.283,0.238,0.249
hybrid_gr_relations,10,0.333,0.033,0.333,0.244,0.265
hybrid_gr_relations,20,0.350,0.018,0.350,0.245,0.269
hybrid_gr_expand,1,0.217,0.217,0.217,0.217,0.217
hybrid_gr_expand,3,0.233,0.078,0.233,0.225,0.227
hybrid_gr_expand,5,0.267,0.053,0.267,0.232,0.241
hybrid_gr_expand,10,0.317,0.032,0.317,0.238,0.256
hybrid_gr_expand,20,0.350,0.018,0.350,0.240,0.264
