doc_id,cross,amends,defined_in,applies_to,part_of,implements,supersedes,cites,unresolved
acer_remit_guidance,0,7,13,3,0,0,0,0,4
data_act_2023_2854,131,5,42,3,44,0,0,27,25
dlt_pilot_2022_858,73,1,22,1,17,0,0,28,29
dora_2022_2554,196,5,59,9,58,0,0,76,78
eidas_2014_910,87,0,41,1,43,0,0,3,3
eidas_2_2024_1183,138,2,0,1,23,0,0,97,88
elec_dir_2019_944,202,1,61,4,68,0,1,51,24
elec_reg_2019_943,225,1,71,1,65,0,0,66,32
emd_reform_dir_2024_1711,30,3,0,1,5,0,0,26,22
emd_reform_reg_2024_1747,81,5,0,2,12,0,0,72,65
entso-e_compliance_monitoring,0,0,0,0,0,0,0,0,0
entso-e_simulation_models,0,0,0,0,0,0,0,0,0
entso_cacm_2015_1222,210,0,45,1,78,0,0,2,2
entso_ebgl_2017_2195,237,0,45,3,62,0,0,55,22
entso_ncrfg_2016_631,142,0,65,4,63,0,0,1,1
entso_sogl_2017_1485,493,0,155,0,174,0,0,53,33
eprivacy_dir_2002_58,16,0,7,4,17,0,0,2,2
eu_ai_act_2024_1689,130,13,68,2,49,0,0,58,65
gdpr_2016_679,263,0,25,2,79,0,0,2,2
know_your_contract_guidance,0,0,0,0,0,0,0,0,0
metering_data_2023_1162,22,0,19,1,13,0,0,10,1
mica_2023_1114,266,5,47,6,75,0,0,108,110
nis2_dir_2022_2555,94,3,41,6,41,0,0,21,16
remit_1227_2011,46,0,13,1,19,0,0,12,12
remit_ii_2024_1106,104,3,0,4,16,1,0,86,87
